sku_id,category,product_name,scenario_order_lines,scenario_units_ordered,scenario_units_fulfilled,scenario_stockout_orders,scenario_unfulfilled_value_rupees,scenario_fulfilled_revenue_rupees,scenario_fill_rate_pct,data_origin,priority_rank,priority_score
108,Cooking Essentials,Amul Pure Ghee (Pouch),2,6,0,2,2994.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,482,40
3200,Paan Corner,Pampers Premium Care Pants - Large,1,3,0,1,2697.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,469,40
1088,Munchies,Everest Kashmiri Lal Chilli Powder,6,9,0,6,2511.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,46,55
2922,Personal Care,Comfy Baby Pants XL 12-17 kg,3,9,3,2,2184.0,1092.0,33.33,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,595,25
3252,Paan Corner,Sebamed Anti - Dandruff Shampoo,2,4,0,2,2160.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,475,40
3029,Personal Care,Mamaearth Skin Correct Face Serum,3,6,2,2,2036.0,1018.0,33.33,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,478,40
3590,Home & Cleaning,Origami Luxuria Kitchen Towel 300 Pulls Single,4,8,2,3,1920.0,640.0,25.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,807,20
3254,Paan Corner,"L'Oreal Paris Excellence Creme Hair Color, 4.25 Aishwarya's Brown",1,3,0,1,1860.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
1854,Ice Cream & Desserts,Godrej Yummiez Chicken Nuggets,2,6,0,2,1758.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,542,30
131,Cooking Essentials,Gowardhan Ghee Jar,3,6,3,1,1737.0,1737.0,50.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
2408,Chocolates & Candies,Whiskas Adult Pocket Tuna Cat Food,2,4,0,2,1640.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,596,25
2908,Personal Care,Sebamed Anti - Dandruff Shampoo,1,3,0,1,1620.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,476,40
2412,Chocolates & Candies,Kellogg's Muesli Nuts Delight,3,6,2,2,1532.0,766.0,33.33,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
3373,Paan Corner,Mamaearth Skin Correct Face Serum,4,5,2,3,1527.0,1018.0,40.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,477,40
622,Munchies,Amul Pure Ghee (Pouch),1,3,0,1,1497.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,483,40
1587,Packaged Food,Pantai Oyster Sauce,5,8,2,3,1404.0,468.0,25.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,0,0
2556,"Meats, Fish & Eggs",TGFC Bombay Duck Whole Cleaned,2,5,0,2,1370.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,486,40
2148,Ice Cream & Desserts,Hershey's Cocoa + Almond Spread,3,5,0,3,1330.0,0.0,0.0,SIMULATED_SCENARIO_NOT_ACTUAL_ORDER_HISTORY,180,50
